"ポートフォリオ一覧",
"個別表示",
"PTS株価非表示",
"総件数：25件",
"選択範囲：1-25件",
"ページ：1",
"株式（現物/特定預り）",
"銘柄（コード）","買付日","数量","参考単価","取得単価","現在値","前日比","前日比（％）","損益","損益（％）","評価額",
"4063 信越化","2026/06/10",100,6700,6700,6942,+107,+1.57,+24200,+3.61,694200,
"5016 ＪＸ金属","2026/06/10",100,3400,4030,4470,-83,-1.82,+44000,+10.92,447000,
"6758 ソニーグループ","2026/06/11",100,3350,3350,3299,+100,+3.13,-5100,-1.52,329900,
"408A ｉＳベストＡＩ","2026/06/15",1790,333,333,331,-2.8,-0.84,-3580,-0.60,592490,
"9104 商船三井","2026/06/15",100,5600,5600,5234,+15,+0.29,-36600,-6.54,523400,
"5016 ＪＸ金属","2026/06/17",100,4340,4030,4470,-83,-1.82,+44000,+10.92,447000,
"5016 ＪＸ金属","2026/06/17",100,4350,4030,4470,-83,-1.82,+44000,+10.92,447000,
"5803 フジクラ","2026/06/17",100,4600,4600,5885,-246,-4.01,+128500,+27.93,588500,
"213A 上場日経半導体","2026/06/18",1770,564,572,541,-1.3,-0.24,-54870,-5.42,957570,
"213A 上場日経半導体","2026/06/19",1770,578.9,572,541,-1.3,-0.24,-54870,-5.42,957570,
"3433 トーカロ","2026/06/23",300,3350,3350,3280,0,0.00,-21000,-2.09,984000,
"285A キオクシアＨＤ","2026/06/25",10,106000,106000,88450,-3730,-4.05,-175500,-16.56,884500,
"6590 芝浦","2026/06/29",100,4100,4100,4305,-60,-1.37,+20500,+5.00,430500,
"9984 ソフトバンクグループ","2026/06/29",100,6120,6120,5894,-332,-5.33,-22600,-3.69,589400,
"株式(現物/特定預り)合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
8873030,-68920,-0.77,-113414,-1.26,
"株式（現物/NISA預り（成長投資枠））",
"銘柄（コード）","買付日","数量","参考単価","取得単価","現在値","前日比","前日比（％）","損益","損益（％）","評価額",
"3563 Ｆ＆ＬＣ","2026/06/05",100,4969.9,4970,5055,+70,+1.40,+8500,+1.71,505500,
"2413 エムスリー","2026/06/11",500,1620,1620,1830,+63.5,+3.59,+105000,+12.96,915000,
"8136 サンリオ","2026/06/22",100,918,918,1126.5,+34.5,+3.16,+20850,+22.71,112650,
"3563 Ｆ＆ＬＣ","2026/06/29",100,4969.9,4970,5055,+70,+1.40,+8500,+1.71,505500,
"株式(現物/NISA預り(成長投資枠))合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
2038650,+142850,+7.54,+49200,+2.47,
"投資信託（金額/特定預り）",
"ファンド名","買付日","数量","参考単価","取得単価","現在値","前日比","前日比（％）","損益","損益（％）","評価額",
"ｅＭＡＸＩＳ　Ｓｌｉｍ　国内株式（日経平均）","----/--/--",1092830,32941.99,32942,34310,-1487,-4.15,+149499.14,+4.15,3749499.73,
"ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）","----/--/--",827663,43495.96,43496,43772,+19,+0.04,+22843.49,+0.63,3622846.48,
"ＳＭＴ　米国株式モメンタムファンド","----/--/--",614251,16279.99,16280,15924,+149,+0.94,-21867.33,-2.19,978133.29,
"ＳＭＴ　日本株式モメンタムファンド","----/--/--",659935,15153.01,15154,15433,-797,-4.91,+18412.18,+1.84,1018477.68,
"ＳＭＴ　中国株式モメンタムファンド","----/--/--",610166,16388.98,16389,17816,+692,+4.04,+87070.68,+8.71,1087071.74,
"投資信託(金額/特定預り)合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
10456028.93,+255958.18,+2.51,-162152.25,-1.53,
"投資信託（金額/NISA預り（成長投資枠））",
"ファンド名","買付日","数量","参考単価","取得単価","現在値","前日比","前日比（％）","損益","損益（％）","評価額",
"ｉＦｒｅｅＮＥＸＴ　ＦＡＮＧ＋インデックス","----/--/--",54465,91802.39,91803,89761,-714,-0.79,-11121.75,-2.22,488883.28,
"ＳＭＴ　中国株式モメンタムファンド","----/--/--",2569,16388.98,16388,17816,+692,+4.04,+366.85,+8.71,4576.93,
"投資信託(金額/NISA預り(成長投資枠))合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
493460.21,-10754.89,-2.13,-3711.03,-0.75,
"総合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
21861169.15,+319133.28,+1.48,-230077.28,-1.04
